question,intent
의정부 마스크 쓰는 것이 좋을까,먼지
마스크는 써야할까,먼지
내일 공기 상태 알려줄수 있어,먼지
이번 주 공기 상태 알려줄래,먼지
구로구 마스크 쓸까,먼지
오늘 영등포 마스크 써야할까,먼지
인천 마스크는 써야할까,먼지
목포 마스크 쓰는 게 좋니,먼지
내일 솔초 공기 상태 보면 마스크 써야하니,먼지
공기 상태 어떠니,먼지
부천 공기 상태 알려줘,먼지
내일 오산 공기 맑은지 알려줘,먼지
내일 공기 맑은지 뭐야,먼지
오늘 금천구 공기 상태는,먼지
부산 공기 상태,먼지
원주 공기 상태 말해줄래,먼지
내일 공기 상태 알려주라,먼지
모레 부산 공기 상태 알려줘,먼지
모레 오산 공기 상태 알려줘,먼지
오늘 공기 상태 뭐야,먼지
모레 전주 공기 상태 뭐야,먼지
인천 다음 주 미세먼지 알려줘,먼지
이번주 보령 미세먼지 줘,먼지
경주 다음주 미세먼지 알려줄래,먼지
오늘 광주 공기 맑니,먼지
전주 공기 맑니,먼지
괴산 공기 맑니,먼지
이따가 하라고 메모 해줄래,메모
2시에 하라고 메모 해줘,메모
6시에 엄마한테 전화 하라고 메모 해주라,메모
7시에 준비 메모 해줘,메모
4시에 하는거 메모 해줘,메모
이따가 메모 좀 해주라,메모
오늘 메모 해줘요,메모
메모 해주라,메모
8월 24일에 메모해줘,메모
9월 1일에 메모해줄래,메모
메모 해줄래요,메모
이따가 메모 해줄래,메모
이따가 6시쯤에 메모해줄래요,메모
오후 2시쯤 메모 해주라고 알람 맞춰줄래요,메모
내일 12시에 해야한다고 메모 해주세요,메모
이따가 1시에 메모 해줘요,메모
오늘 2시에 한다고 메모 해줘,메모
점심 1시에 메모해줘요,메모
내일 2시에 약속 있다고 메모해줘요,메모
내일 2시에 약속 있다고 메모해줘요,메모
이번 주 주말에 가라고 메모해줄래,메모
내일 3시 반에 약속 있다고 메모해줘요,메모
메모 해줘요,메모
이따가 메모 해줄래,메모
내일 2시에 약속 있다고 메모해줄래요,메모
점심 1시에 먹으라고 메모해줄래,메모
열두시 30분 메모 해줘,메모
이따가 메모 해줄래,메모
내일 2시 30분에 약속 있다고 메모해줘요,메모
오늘 오후 2시에 약속 있다고 메모해줘요,메모
점심 12시 30분에 메모해줄래,메모
내일 12시에 약속 있다고 메모해줘요,메모
오늘 오후 2시 30분에 약속 있다고 메모해줘요,메모
내일 2시에 메모해줘요,메모
오늘 오후 2시에 약속 있다고 메모해줘요,메모
내일 열두시에 메모 해주세요,메모
이따가 1시에 메모 해줄래요,메모
오늘 2시에 한다고 메모 해줄래요,메모
오늘 4시에 숙제 하라고 메모해줘요,메모
오늘 오후 5시 메모해줄래요,메모
점심 1시에 밥 먹으라고 메모해줘요,메모
자정에 메모해줄래요,메모
내일 2시에 점심 약속 있다고 메모해줘요,메모
명언 알려줘,명언
좋은 말 해줘,명언
명언 들려줄래,명언
명언 해주라,명언
좋은 말 들려줘,명언
좋은 말 해주라,명언
좋은 말 좀 해줄래,명언
명언 들려줘,명언
명언 하나 들려줄래,명언
명언 말해줘,명언
좋은 말 들려줘,명언
좋은 말 해줘,명언
좋은 말 좀 해줄래,명언
좋은 말 좀 해주라,명언
명언 말 해주라,명언
명언 좀 들려줘,명언
명언 알려줘요,명언
좋은 말 해줘요,명언
명언 들려줄래요,명언
명언 해주라요,명언
좋은 말 들려줘요,명언
좋은 말 해주라요,명언
좋은 말 좀 해줄래요,명언
명언 들려줘요,명언
명언 하나 들려줄래요,명언
명언 말해줘요,명언
좋은 말 들려줘요,명언
좋은 말 해줘요,명언
좋은 말 좀 해줄래요,명언
좋은 말 좀 해주라요,명언
명언 말 해주라요,명언
명언 좀 들려줘요,명언
사랑해 일본어 뭐야,번역
문어 일본어 뭔지 알아,번역
코끼리 영어 뭔지 알려줄래,번역
존경해 중국어 뭐야,번역
바보 중국어 알려줘,번역
누나 중국어 어떻게 말해,번역
중국어 알려줘,번역
목성 중국어 말해주라,번역
죽을래 중국어 뭐야,번역
토마토 중국어 번역,번역
감 뭔지 중국어 번역해주라,번역
창문 번역해줘,번역
상어 뭔지 중국어 번역해줄래,번역
이 문장 중국어 말해줘,번역
이 단어 중국어 말해주라,번역
존경해 프랑스어 뭐야,번역
바보 프랑스어 알려줘,번역
누나 프랑스어 뭐니,번역
이거 프랑스어 뭔지 알려줄래,번역
냉장고 프랑스어 번역,번역
프랑스어 번역해주라,번역
이 단어 프랑스어 번역해줄래,번역
프랑스어 바지 뭔지 말해줘,번역
할머니 프랑스어 말해줄래,번역
고장났어 프랑스어 뭔데,번역
귀하 프랑스어 뭔지 알아,번역
코뿔소 프랑스어 뭔지 알려줄래,번역
토마토 프랑스어 번역,번역
감 뭔지 프랑스어 번역해줘,번역
영어 당신만을 바라볼래요 뭐야,번역
냉장고 텅 비었군요 영어 뭐야,번역
중국어 이거 얼마에요 뭐야,번역
이거 스페인어 뭔지 알려줄래,번역
파이프 스페인어 번역,번역
탱크 스페인어 번역해주라,번역
스페인어 번역해주라,번역
영어 번역해주라,번역
소고기 뭔지 스페인어 번역해줄래,번역
이 문장 스페인어 말해줘,번역
이 단어 스페인어 말해주라,번역
스페인어 알려줘,번역
이거 독일어 뭔지 알려줄래,번역
해왕성 독일어 말해주라,번역
정성들이다 독일어 뭐야,번역
할아버지 독일어 말해줄래,번역
원숭이 독일어 뭔지 알려줄래,번역
이 단어 독일어 말해주라,번역
독일어 알려줘,번역
밥솥 중국어 번역,번역
에어컨 중국어 번역해주라,번역
해왕성 중국어 말해주라,번역
정성들이다 중국어 뭐야,번역
회사 중국어 뭔지 알아,번역
원숭이 중국어 뭔지 알려줄래,번역
감귤 중국어 번역,번역
밤 뭔지 중국어 번역해주라,번역
청소기 번역해줘,번역
멸치 뭔지 중국어 번역해줄래,번역
이거 이탈리아어 뭔지 알려줄래,번역
이탈리아어 번역해주라,번역
이 단어 이탈리아어 번역해줄래,번역
이탈리아어 칫솔 뭔지 말해줘,번역
감귤 이탈리아어 번역,번역
밤 뭔지 이탈리아어 말해주라,번역
이탈리아어 알려줘,번역
이거 라틴어 뭔지 알려줄래,번역
밥솥 라틴어 번역,번역
에어컨 라틴어 말해주라,번역
정성들이다 라틴어 뭐야,번역
상장 라틴어 뭔지 알려줘,번역
라틴어 책상 어떻게 말해,번역
고치다 라틴어 뭔데,번역
회사 라틴어 뭔지 알아,번역
원숭이 라틴어 뭔지 알려줄래,번역
감귤 라틴어 번역,번역
밤 뭔지 라틴어 말해주라,번역
멸치 뭔지 라틴어 말해줄래,번역
그리스어 말해줘,번역
해왕성 그리스어 말해주라,번역
회사 그리스어 뭔지 알아,번역
원숭이 그리스어 뭔지 알려줄래,번역
감귤 그리스어 번역,번역
이 단어 그리스어 말해주라,번역
그리스어 알려줘,번역
이거 일본말 뭔지 알려줄래,번역
밥솥 일본말 번역,번역
밤이 뭔지 일본말 말해줘,번역
소설 어떻게 말해,번역
일본말 칫솔이 뭔지 말해줘,번역
경찰 일본말 말해줘,번역
회사 일본말 뭔지 알아,번역
밤이 뭔지 일본말 번역해주라,번역
이 문장 일본말 말해줘,번역
이 단어 일본말 말해주라,번역
학교에 언제가나요 일본말 뭐야,번역
설거지를 해야해요 영국말 뭐야,번역
칠판이 깨끗하군요를 영어 어떻게 말해,번역
가방을 들어요 중국어 뭐야,번역
라틴어 이거 얼마에요 뭐야,번역
더 작게 말해줘,볼륨다운
더 작게 들려줄래,볼륨다운
작게 말해,볼륨다운
작게 말해주라,볼륨다운
조용히 해,볼륨다운
조용히 하라고,볼륨다운
더 작게 말 하라니깐,볼륨다운
더 작게 말해,볼륨다운
볼륨 낮춰,볼륨다운
볼륨 줄여,볼륨다운
소리 줄여,볼륨다운
소리 작게 해줘,볼륨다운
소리 낮춰,볼륨다운
소리 작게 말해,볼륨다운
말 소리 작게 해,볼륨다운
더 작게 말해,볼륨다운
소리 낮춰,볼륨다운
목소리가 크네,볼륨다운
목소리 크구나,볼륨다운
목소리 너무 커,볼륨다운
시끄러워,볼륨다운
시끄러우니까 조용해,볼륨다운
시끄러우니까 조용히 해,볼륨다운
시끄럽다니까,볼륨다운
시끄럽다고,볼륨다운
목소리 너무 큰데,볼륨다운
목소리 너무 큰 거 아니니,볼륨다운
더 작게 말해줘,볼륨다운
더 작게 들려줄래,볼륨다운
작게 말해,볼륨다운
작게 말해주라,볼륨다운
조용히 해,볼륨다운
조용히 하라고,볼륨다운
더 작게 말 하라니깐,볼륨다운
더 작게 말해,볼륨다운
볼륨 낮춰,볼륨다운
볼륨 줄여,볼륨다운
소리 줄여,볼륨다운
소리 작게 해줘,볼륨다운
소리 낮춰,볼륨다운
소리 작게 말해,볼륨다운
말 소리 작게 해,볼륨다운
더 작게 말해,볼륨다운
소리 낮춰,볼륨다운
시끄러워,볼륨다운
시끄러우니까 조용해,볼륨다운
시끄러우니까 조용히 해,볼륨다운
시끄럽다니까,볼륨다운
시끄럽다고,볼륨다운
더 크게 말해줘,볼륨업
더 크게 들려줄래,볼륨업
크게 말해,볼륨업
크게 말해주라,볼륨업
잘 안들리는데,볼륨업
잘 안들려,볼륨업
잘 안들린다고,볼륨업
더 크게 말 하라니깐,볼륨업
더 크게 말해,볼륨업
볼륨 키워,볼륨업
볼륨 올려,볼륨업
소리 키워,볼륨업
소리 크게 해줘,볼륨업
소리 키워,볼륨업
소리 크게 말해,볼륨업
말 소리 크게 해,볼륨업
더 크게 말해,볼륨업
잘 안들려,볼륨업
잘 안들린다고,볼륨업
잘 안 들린다고,볼륨업
크게 말 하라니깐,볼륨업
더 크게 말해,볼륨업
더 크게 말해줘,볼륨업
더 크게 들려줄래,볼륨업
크게 말해,볼륨업
크게 말해주라,볼륨업
잘 안들리는데,볼륨업
잘 안들려,볼륨업
잘 안들린다고,볼륨업
더 크게 말 하라니깐,볼륨업
더 크게 말해,볼륨업
볼륨 키워,볼륨업
볼륨 올려,볼륨업
소리 키워,볼륨업
소리 크게 해줘,볼륨업
소리 키워,볼륨업
소리 크게 말해,볼륨업
말 소리 크게 해,볼륨업
더 크게 말해,볼륨업
잘 안들려,볼륨업
잘 안들린다고,볼륨업
잘 안 들린다고,볼륨업
크게 말 하라니깐,볼륨업
더 크게 말해,볼륨업
블루투스,블루투스
블루투스,블루투스
블루투스,블루투스
블루투스 연결,블루투스
블루투스 연결,블루투스
블루투스 통신,블루투스
블루투스 통신,블루투스
블루투스 통신,블루투스
블루투스 통신 연결,블루투스
블루투스 통신 연결,블루투스
통신 불안해,블루투스
블루투스 연결할래,블루투스
블루투스 연결할 거야,블루투스
블루투스 끊겼네,블루투스
와아파이 설정,블루투스
블루투스 설정,블루투스
블루투스 설정해줘,블루투스
bluetooth,블루투스
블루투스,블루투스
블루투스,블루투스
블루투스 연결,블루투스
bluetooth 연결,블루투스
bluetooth 통신,블루투스
블루투스 통신,블루투스
블루투스 통신,블루투스
블루투스 통신 연결,블루투스
bluetooth 통신 연결,블루투스
bluetooth 연결할래,블루투스
bluetooth 연결할 거야,블루투스
bluetooth 끊겼네,블루투스
블루투스 설정,블루투스
bluetooth 설정해줘,블루투스
블루투스 켜줘,와이파이
블루투스 킬래,와이파이
bluetooth 켜줘,와이파이
bluetooth 킬래,와이파이
지금 몇시야,시간
지금 몇 시야,시간
지금 몇시지,시간
지금 몇 시야,시간
시간,시간
시간은,시간
시간도 알려줘,시간
시간도,시간
시간 알려줘,시간
시간 알려줄래,시간
몇 신지 아니,시간
지금 몇시야,시간
지금 시간이 어떻게 되니,시간
시간 알려주라,시간
시간 좀 알려줘,시간
지금 몇시 몇분이야,시간
지금 몇 시 몇 분이야,시간
지금 시간 알려줄 수 있니,시간
지금 몇시야,시간
지금 몇 시야,시간
지금 몇시지,시간
지금 몇 시야,시간
시간,시간
시간 알려줘,시간
시간 알려줄래,시간
몇 신지 아니,시간
지금 몇시야,시간
지금 시간이 어떻게 되니,시간
시간 알려주라,시간
시간 좀 알려줘,시간
지금 몇시 몇분이야,시간
지금 몇 시 몇 분이야,시간
지금 시간 알려줄 수 있니,시간
지금 몇시야,시간
지금 몇 시야,시간
지금 몇시지,시간
지금 몇 시야,시간
시간,시간
시간 알려줘,시간
시간 알려줄래,시간
몇 신지 아니,시간
지금 몇시야,시간
지금 시간이 어떻게 되니,시간
시간 알려주라,시간
