question,intent
아니 그 건 좀 아니다,결정미스
그 건 좀 아니네,결정미스
완전 핵 별로인데,결정미스
진짜 별로,결정미스
이건 좀 미스네,결정미스
그 선택은 좀 아닌 것 같은데,결정미스
그 선택 미스야,결정미스
그 결정은 좀 아닌 것 같아,결정미스
그 건 안 고를래,결정미스
난 다른 거 고를래,결정미스
난 별론데,결정미스
다른 거 고를 건데,결정미스
다른 거 고를래,결정미스
다른 거 먹을 건데,결정미스
다른 거 먹을래,결정미스
별로,결정미스
별로 인 것 같아,결정미스
이건 꽝이다,결정미스
그래 이제 결정했어,결정성공
느낌이 왔어,결정성공
느낌이 좋아,결정성공
나 결정했어,결정성공
나 결정 잘 한거지,결정성공
결정했다,결정성공
결정했어,결정성공
골랐다,결정성공
골랐어,결정성공
그 거 먹어야겠다,결정성공
그 거로 정했어,결정성공
그 걸로 결정했어,결정성공
그걸로 정했어,결정성공
결혼하자,결혼
결혼을 어떻게 생각해,결혼
내 남편이 돼줘,결혼
나랑 결혼할래,결혼
우리 결혼해야 돼,결혼
너랑 결혼하고 싶어,결혼
결혼해줘,결혼
결혼 하고 싶네,결혼
지금 여자친구랑 결혼까지 생각 하고 있어,결혼
결혼까지 할 거야,결혼
걔랑 결혼까지 하려고 했단 말이야,결혼
너무하네 나는 결혼까지 하고 싶었어,결혼
너랑 결혼 할래,결혼
나한테는 너 뿐이야 나랑 결혼 해줘,결혼
결혼하면 어떨까,결혼
그런 여자랑 결혼하는 꿈을 꿔,결혼
결혼하면 매일 매일 행복할까,결혼
결혼해줄래,결혼
제발 나랑 결혼해줘 너무 사랑해,결혼
결혼하면 좋아,결혼
결혼하면 좋을까,결혼
결혼하면 행복할까,결혼
결혼하면 행복해,결혼
결혼하면 행복해질까,결혼
봄날이 기대돼,계절
봄이 왔어,계절
봄이 왔으면 좋겠어,계절
봄이다,계절
봄인가봐,계절
여름 끝났으면,계절
여름 빨리 지나갔으면,계절
이제 봄인가봐,계절
아니 겨울말이야,계절
난 봄이 좋더라,계절
난 여름이 제일 좋아,계절
여름이 최고지,계절
가을이 좋아,계절
선선한 가을이 좋지,계절
겨울이 좋아,계절
겨울엔 눈 내리잖아,계절
겨울이 제일 좋지,계절
고기 먹고싶네,고기
고기 최고지,고기
오늘 고기 끌리네,고기
고기 너무 맛나,고기
고기 진짜 먹고 싶어,고기
오늘은 고기가 땡기네,고기
고기 땡겨,고기
오늘따라 고기 땡겨,고기
무한리필 고기 먹고 싶어,고기
고기 먹고 싶네 오늘,고기
삼겹살 구워 먹고 싶다,고기
삼겹살 구워 먹어야지,고기
삼겹살 구워야지,고기
삼겹살 냄새,고기
삼겹살 냄새 다 벴어,고기
삼겹살 먹고 싶다,고기
고기 구워 먹고 싶다,고기
고기 먹고 싶어,고기
화분에 뭐 심어볼까,고민
음,고민

뭐하면서 놀까,고민
뭐할까,고민
뭐해 먹지,고민
뭔가 배워볼까,고민
뭔가 해야 할까,고민
뭘 바꿔야 할까,고민
뭘 잘못했다는 걸까,고민
뭘하면 행복할까,고민
발톱 손질 받을까,고민
버리기 아까운데 리폼 해볼까,고민
버릴 건 버려야 겠지,고민
버림 받은 느낌,고민
버스탈까 택시탈까,고민
벗어나고 싶어,고민
빼빼로 만들어 주면 좋아할까,고민
사람 많아서 기다려야할지도,고민
사람들은 왜 이렇게 날 힘들게 할까,고민
사람들은 왜 이렇게 신경쓸까,고민
사람들이 나 이상하대,고민
사람들이 날 너무 힘들게 한다,고민
사람은 많은데 외로워,고민
사람의 마음을 얻는게 어려워,고민
살 게 없네,고민
살 만한게 없네,고민
살아서 좋은점,고민
살아야 하는 이유,고민
살이 안 쪄,고민
상관 없는 이야기만 해,고민
상의도 안하고 왜 혼자 결정 하지,고민
상의도 없이 왜 그런 결정을 하지,고민
상처받았어,고민
새로운 곳에 적응을 못해,고민
새로운 공부 시작해도 될까,고민
새로운 사랑이 찾아올까,고민
새로운 일 벌려도 될까,고민
새로운 일 해도 될까,고민
아직 결정 못 내렸어,고민
이제 결정해야 되는데,고민
잠깐 쉬려고 했는데 한참 지났네,고민
잠시만 쉬려고 했는데 길어졌어,고민
아직도 안 끝났어,고민
안 끝나,고민
인관관계 맺는 게 피곤해,고민
왜 내가 해야 하지,고민
잘 할 수 있을까,고민
전부다 알고 있을까,고민
엄마가 언니랑 나랑 차별해,고민
엄마가 언니랑 차별해,고민
잘못한게 돼버렸어,고민
전학가게 됐어,고민
순간의 화를 못 참겠어,고민
이마가 너무 넓어,고민
웃을 일이 없네,고민
요즘 웃을 일이 없네,고민
자꾸 폭식하는데 어떻게 고칠 수 있을까,고민
일찍 가서 쉬고 싶은데 오늘 회식 잡혔어,고민
시선이 자꾸 느껴져,고민
잘하는 게 뭔지 모르겠어,고민
잘하는거 하라는 데 없어,고민
일어났더니 목이 잠겼어,고민
잘하는게 없는 느낌,고민
아직 많이 부족한가,고민
아무도 모르게 있고 싶어,고민
자장면 짬뽕,고민
자장면이 좋아 짬뽕이 좋아,고민
아무 생각 없이 놀고 먹고 싶어,고민
아직도 모르는게 너무 많은 것같아,고민
왼손잡이가 뭐 어때서,고민
열심히 한 거 같은데,고민
예전에는 비슷했는데,고민
전화 못하겠어,고민
알아들은 척했는데 모르겠어,고민
잘하는 게 뭘까,고민
아무것도 안하고 집에서 뒹굴거리고 싶어,고민
여자로 태어 났으면 어땠을까,고민
이제 일어나야 하는데,고민
이러고 있을 때가 아니야,고민
엄마 아빠랑 다시 같이 살아야돼,고민
오늘 치마랑 바지 뭐 입지,고민
결정 못하겠어,고민
결정은 빠르면 빠를 수록 좋겠지,고민
결정은 빠를수록 좋겠지,고민
결정을 못 내리겠어 어떻해,고민
계속 엇갈리는 느낌,고민
계속 한숨만 나와,고민
고민 있어,고민
고민 좀 들어줄래,고민
손톱 정리 좀 할까,고민
오래 살아야할텐데,고민
오래 살아야 할텐데,고민
오래 살고 싶어,고민
흠 고민되네요,고민
제 인생에서 이렇게 고민된 적은 별로 없는데,고민
오래 살고 싶다,고민
정신적으로 스트레스를 너무 주는데 이런 사람은 어떻게 상대해,고민
고백할까,고백
고백 생각 중이야,고백
고백 할까 지금 많이 생각 중인데,고백
그 친구한테 고백하면 받아 줄까,고백
사실대로 고백하면 받아 줄련지,고백
고백 하는 생각 했어,고백
전화로 고백해도 괜찮겠지,고백
전화로 내가 좋아한다고 말해도 괜찮으려나,고백
좋아한다고 말할래,고백
좋아한다고 말해도 괜찮겠지,고백
고백 할까 고민 중,고백
고백 할까 말까 고민 중이지,고백
고백할까 말까,고백
아니 고백 할까,고백
고집하고는,고집
고집 센 사람,고집
고집 좀 그만 부려,고집
너는 고집이 문제야,고집
고집 불통이군,고집
고집 그만 부려라,고집
맨날 맨날 고집 부리니 이렇지,고집
너가 고집을 꺾기 전엔 똑같아,고집
고집 안 꺾으면 내일도 그럴걸,고집
고집 불통 자식,고집
고집 그만 부리고 이제 말 들어,고집
고집 세서 어떻게 하니,고집
고집이 황소고집이네,고집
고집 좀 그만 부려라,고집
하긴 그럴 것 같긴 했어요,공감동의
그렇게 생각했지 당연히,공감동의
그니깐,공감동의
그니까,공감동의
그러게,공감동의
 네 말이 맞아,공감동의
그건 그렇긴 하지,공감동의
그게 딱이다,공감동의
그게 딱이야,공감동의
그게 맞지,공감동의
그게 지금 끌리네,공감동의
그렇지,공감동의
나 동의해,공감동의
너 말대로야,공감동의
네 말대로야,공감동의
네 말이 맞아,공감동의
동의,공감동의
맞아,공감동의
맞아 그건 그렇지,공감동의
맞아 맞아,공감동의
바로 그거야,공감동의
응 맞아,공감동의
지금 딱 좋네,공감동의
진짜 그래,공감동의
그 땐 그랬지,공감동의
그랬긴 했지,공감동의
그랬었지,공감동의
그땐 그랬지,공감동의
그래 그러자,공감동의
아직도 공부할 게 많아,공부
왜 공부해야하는지 모르겠어,공부
열심히 배워,공부
공부해,공부
공부하는 이유가 없어,공부
공부하는 이유,공부
공부하는 낙이 없어,공부
공부하기 싫은 날,공부
공부하기 싫어,공부
공부방법이 잘못된걸까,공부
공부로 먹고 살 수 있을까,공부
공부는 내 체질이 아닌 것 같아,공부
공부 하기 싫다,공부
공부 좀 더 할 걸,공부
공부 잘하고 싶어,공부
공부 잘 안돼,공부
공부 왜 해야 돼,공부
공부 시작해도 될까,공부
공부 때려치워야 하나,공부
공부 더 열심히 해야 돼,공부
공부 꼭 해야 할까,공부
공부 계속해도 될까,공부
공부 어려워,공부
수학이 어려워,공부
수학이 어렵네,공부
사회 공부해야 해,공부
사회 공부해야지,공부
도덕 공부해야지,공부
강의 싫다,공부
수업 싫어,공부
학교 싫다,공부
학원 싫어,공부
공부하기 싫네,공부
또 공부해야돼,공부
계속 공부해도 될까,공부
자격을 갖춰,공부
똑똑해져,공부
더 똑똑해져 봐,공부
더 똑똑해져,공부
공황장애 있어,공황장애
공황장애 같은데,공황장애
나 공황장애 걸렸어,공황장애
공황장애 올 것 같아,공황장애
이런 상황이면 공황장애 올 것 같은데,공황장애
나 너무 어지러워 공황장애 같아,공황장애
공황장애 걸렸어,공황장애
공황장애 같아,공황장애
지금 공황장애 같은 느낌이야,공황장애
공황장애 생겼어,공황장애
과거는 잊고 앞으로 나아 가야지,과거
과거 중요하지 않아,과거
과거가 뭐가 중요해,과거
과거 따위 잊으려고,과거
과거에는 그러긴 했지,과거
과거에 그랬데,과거
과거엔 안 그랬는데,과거
과거엔 안 그랬데,과거
과거 시대에 사는 사람인가봐,과거
과거 시대적인 생각이네,과거
과거는 중요하지 않아,과거
응 예전에 해봤지,과거
전에 한 번 봤지,과거
전에 한 번 해봤지,과거
전에 해보긴 했다,과거
어제 해봤어,과거
그제 해봤지,과거
내가 저번 달에 해봤어,과거
그 거 당연히 해봤지,과거
당연히 먹어봤지,과거
입어봤지 당연히 어제,과거
어제 당연히 물어봤지,과거
아까 전에 먹어봤지,과거
그런 거 쯤이야 당연히 해봤지,과거
여자친구랑 뽀뽀 해봤지,과거
남자친구랑 뽀뽀 해봤지,과거
그때 참 그런 것도 했었지,과거
당연히 봤지,과거
저번 주에 들었지,과거
저저번 주에 들어놨지,과거
입었지 저번 주에,과거
저번달에 했었지,과거
그렇게 했었긴 했지,과거
과식했다,과식소화불량
과식했나 봐,과식소화불량
배 더부룩해,과식소화불량
많이 먹은 탓일까,과식소화불량
좀 심하게 많이 먹긴 했지,과식소화불량
배 더부룩하네,과식소화불량
더부룩해,과식소화불량
소화불량 상태야 배가 더부룩해,과식소화불량
소화가 안되네 과식했나봐,과식소화불량
과식해서 소화가 안돼,과식소화불량
소화불량이야,과식소화불량
너무 많이 먹었나봐,과식소화불량
너무 많이 먹었어,과식소화불량
많이 먹었지,과식소화불량
너무 심하게 많이 먹었다,과식소화불량
소화불량 상태야,과식소화불량
너무 과식해서 소화 불량이야,과식소화불량
사과 좋아하니,과일
과일 좋아하니,과일
바나나 좋아하니,과일
바나나 먹고 싶다,과일
바나나 먹어야지,과일
바나나가 좋아,과일
수박 맛있어,과일
수박 먹어야지,과일
딸기가 좋아,과일
딸기가 너무 먹고 싶어,과일
딸기 먹을래,과일
딸기 먹어야지,과일
딸기 먹고 싶다,과일
과일 챙겨 먹어야지,과일
과일 잘 안 먹게 돼,과일
과일 안 먹게 돼,과일
과일 먹어야지,과일
과일 먹고 자야지,과일
장난감 사줘,구매
휴대폰 샀어,구매
핸드폰 사고 싶다,구매
컴퓨터 사고 싶어,구매
이 거 샀어,구매
옷 사고 싶네,구매
어떤 거 살까,구매
신발 새로 사고 싶다,구매
신발 샀다,구매
신발 사고 싶어,구매
새로 샀지,구매
새로 사고 싶다,구매
새로 사 주셨어,구매
부모님이 새로 사 주셨어,구매
뭐 살까,구매
그 거 샀어,구매
가방 샀어,구매
가방 사고 싶다,구매
나 오늘 마음에 드는 거 봤어,구매
나 오늘 이쁜 신발 봤어,구매
드디어 샀어,구매
이어폰 사야지,구매
이어폰 사줘,구매
블록 사줘,구매
장난감 살거야,구매
살건데,구매
이따가 마트 가서 과자 살거야,구매
마트 가서 아이스크림 살거야,구매
그 거 살라고,구매
사려고 하는데,구매
밥 사려고,구매
친구랑 같이 게임기 사려고,구매
몇 반일지 궁금해,궁금
가끔 뭐하는지 궁금해,궁금
가끔 궁금해,궁금
설명 좀 해봐,궁금
궁금해 알려줘,궁금
내 주제를 모르고 덤빈건가,궁금
너 누구,궁금
너 누구냐,궁금
너 누구니,궁금
너 또 뭐할 줄 알아,궁금
너 만든 사람은 누구야,궁금
너 말 잘하니,궁금
너 뭐하는 애야,궁금
너는 뭐 억었어,궁금
너는 아무일도 없었나봐,궁금
너는 안자,궁금
너도 몰랐니,궁금
너도 무슨 고민 있니,궁금
넌 누구냐,궁금
누가 만들었니,궁금
누구냐 넌,궁금
행복은 어디있어,궁금
행복하기 위해 중요한 게 뭐야,궁금
누구세요,궁금
다른 사람들은 행복할까,궁금
라면 맛있게 끓이는 법 알려줘,궁금
무슨 생각해,궁금
일에 적응하면 좀 더 잘 할 수 있을까,궁금
씻기 싫어,귀찮음
씻기도 귀찮다,귀찮음
진짜 귀찮아,귀찮음
아니 내가 밥 먹으려고 했는데 귀찮네,귀찮음
이따가 씻으려고 했는데 귀찮아,귀찮음
방금 전에 엄마가 하라고 했는데 귀찮아졌어,귀찮음
진짜 귀찮다,귀찮음
마스크 귀찮아,귀찮음
너무 귀찮아,귀찮음
그건 좀 귀찮다,귀찮음
귀찮다니까,귀찮음
좋긴 한데 귀찮아,귀찮음
너무 많이 먹어서 소화시켜야 하는데 움직이기가 싫어,귀찮음
밖에 나가기 귀찮아,귀찮음
그런 친구 아니었는데 너무 귀찮게 하네,귀찮음
조카들 너무 귀찮게 해,귀찮음
계속 도전하는 거 귀찮아,귀찮음
그냥 혼자 있는게 좋아,그냥
그냥 혼자 밥이나 먹어야지,그냥
그냥 할까,그냥
그냥 택시 타야지,그냥
그냥 자는 거 아니지,그냥
그냥 이렇게 살고 싶어,그냥
그냥 쉬고 싶다,그냥
그냥 선 볼까,그냥
그냥 내버려 둬 주었으면,그냥
그냥,그냥
그냥 그랬어 이유는 없어,그냥
그냥 별 이유 없어,그냥
그냥 이유는 없어,그냥
그냥 한 번 해본거야,그냥
그냥 한 번 해봤어,그냥
그냥 해본 말이야,그냥
그냥 해봤어,그냥
요즘 너무 그립구나,그리움
옛날이 그리워,그리움
몰랐던 때로 돌리고싶어,그리움
목소리 듣고싶어,그리움
때론 그립지,그리움
때론 그립기도 하지,그리움
때때로 그리워,그리움
그리워요,그리움
그때가 그리워,그리움
과거로 돌아가고 싶어,그리움
가끔씩 생각이 나더라,그리움
가끔 생각나,그리움
가끔 그리울 때가 있어,그리움
가끔씩 생각나더라,그리움
그 때가 그리워,그리움
그리워,그리움
네가 그립다,그리움
옛날그리워,그리움
요즘 그립구나,그리움
그림 그려야지,그림
그림 그릴거야,그림
그림 그리는 게 좋아,그림
내 취미는 그림 그리는 거야,그림
나는 그림 그리는게 너무 좋아,그림
그림 그릴 때 제일 행복해,그림
그림 그려서 줄게,그림
같이 그림 그릴까,그림
그림 참 잘 그리더라,그림
그림 진짜 잘 그리던데,그림
너 그림 잘그리더라,그림
너 저번에 이상한 그림 그렸어,그림
그림 이상한 색칠했잖아,그림
금요일,금요일
불금 화이팅,금요일
불금이다,금요일
불금을 즐기자,금요일
금요일이야,금요일
금요일이 최고,금요일
금요일 진짜 너무 좋아,금요일
금요일 너무 좋은 것,금요일
금요일이여서 행복해,금요일
금요일이라 너무 좋다,금요일
불론이야,긍정대답
뭐 그렇긴 하지,긍정대답
그게 좋겠다,긍정대답
그래 좋아,긍정대답
그렇게 할게,긍정대답
나는 좋아,긍정대답
나는 좋은 것 같아,긍정대답
물론,긍정대답
물론이지,긍정대답
잘 되고 있단다,긍정대답
잘 되고 있어,긍정대답
좀 기다려 줄래,기다림
재촉하지 마,기다림
잠시만,기다림
잠깐만 기다려줘,기다림
잠깐만 기다려 봐,기다림
잠깐만 기다려,기다림
아 잠깐만,기다림
기다릴게,기다림
기다려,기다림
얼마나 더 기다려야 돼,기다림
기다리기 힘들어,기다림
기다릴 수가 없어,기다림
기다리는 게 너무 힘드네,기다림
아까부터 기다렸어,기다림
어제부터 기다렸는데,기다림
엊 그제부터 기다리고 있었지,기다림
드디어 왔구나 아까부터 기다렸는데,기다림
아직 기다림,기다림
더 못 기다리겠는데,기다림
기다리고 있어,기다림
기다리는게 답일까,기다림
기다리고 있습니다,기다림
기다리고 계신 분들,기다림
기다리라고 말 못하겠어,기다림
조금만 기다려 줬으면 좋겠다,기다림
내일기대돼,기대
내일 기대하게 되네,기대
기대했는데,기대
기대하지 말걸,기대
기대하고 있었는데,기대
기대가 무너졌어,기대
기대 돼서 기다릴 수 없어,기대
기대 됩니다,기대
기대 중이야,기대
기대 하고 있어,기대
기대 하고 있지,기대
너무 기대 돼,기대
그래도 좀 기대했는데,기대
기부했어,기부
기부 좀 했어요,기부
기부 할 거야,기부
기부 하려고 했지,기부
이 돈은 기부 하는게 맞아,기부
이 돈은 불쌍한 친구들 한테 기부할거야,기부
기부하는 사람 멋지다,기부
이 기분은 뭘까,기분
오늘 기분 좋아,기분
오늘 기분은 설명이 안돼,기분
오늘 기분을 뭐라고 해야하나,기분
기분 이상해,기분
기분 좀 그렇네,기분
기분 묘해졌어,기분
기분 좋아서 말하는 거야,기분
기분 이렇게 나쁜적 처음인데,기분
기분 이상한데 뭐지,기분
기분 말 하기 애매해,기분
이 기분 뭐야,기분
이런 기분 처음인데,기분
기분 묘해,기분
기분 더러워,기분
기분 그지 같아,기분
기분 나아졌니,기분질문
기분 어때,기분질문
기분 어떠니,기분질문
기분 좀 어떠니,기분질문
너는 기분 어떠니,기분질문
일어나,기상
자니,기상
자냐,기상
일어나렴,기상
일어나라,기상
너 자니,기상
자고 있니,기상
너 지금 조니,기상
야 자냐,기상
자냐고,기상
자지 마,기상
자지 말라고,기상
자면 안돼,기상
너 졸고 있니,기상
너 자냐,기상
너 혹시 자고있는 건 아니겠지,기상
일어나라고,기상
일어나라니까,기상
너 혹시 잤냐,기상
혹시 자냐,기상
기회를 못 잡았어,기회
기회를 놓쳤어,기회
긴장돼서 땀나네,긴장
떨려,긴장
아 진짜 떨린다,긴장
긴장돼,긴장
긴장돼서 떨리네,긴장
긴장 풀고 싶어,긴장
약간의 긴장은 필요해,긴장
긴장한 것 같아,긴장
큰 무대 앞두고 긴장 되네,긴장
긴장 푸는 법 알려줘,긴장
요즘 자꾸 깜빡깜빡해,까먹음
요즘 자꾸 까먹어,까먹음
열쇠 안가지고 왔다,까먹음
열쇠 두고 왔다,까먹음
꽃꽂이 배우니까 좋다,꽃
꽃꽂이 배우는 중,꽃
꽃선물 받고 어,꽃
꽃 예쁘게 말렸어,꽃
꽃 선물해 볼까,꽃
꽃 선물 좋아할까,꽃
꽃 살까,꽃
꽃 사고 싶어,꽃
꽃 받고 싶다,꽃
꽃놀이 가고 싶어,꽃
벚꽃 예쁘다,꽃
벚꽃구경 가고싶다,꽃
벚꽃이 너무 예뻐,꽃
꽃다발 준비했어,꽃
꽃다발 선물 어때,꽃
꽃다발 선물 받았어,꽃
꽃다발 선물 괜찮지,꽃
꽃다발 샀어,꽃
꽃다발 받았어,꽃
꽃다발 말려봐야지,꽃
꽃다발 말리면 에쁘겠지,꽃
꽃바구니가 좋을까 과일바구니까 좋을까,꽃
꽃바구니 선물이랑 과일 바구니 선물 뭐가 좋아,꽃
무서운 꿈 꿨어,꿈
악몽 꿨어,꿈
나쁜 꿈 꿨어,꿈
꿈인지 현실인지,꿈
꿈이라는 무방비상태,꿈
꿈 현실이었으면,꿈
꿈 자꾸 바뀌어,꿈
꿈 이루어질까,꿈
꿈 없어,꿈
꿈 두 개야,꿈
꿈 다양해,꿈
꿈 너무 무서웠어,꿈
꿈 너무 많아,꿈
꿈 너무 리얼하네,꿈
꿈은 많은데,꿈
나만 꿈 없이 사는 거 같아,꿈
나 어떻게 생겼어,나어때
내가 어떻게 생겼는지 볼 수 있어,나어때
나 어때,나어때
내가 어떻게 생겼는지 알아,나어때
내가 어떻게 생긴지 네가 알아,나어때
내가 어떻게 생긴 것 같아,나어때
나 괜찮아 보여,나어때
12살,나이소개
18살,나이소개
19살,나이소개
22살,나이소개
25살,나이소개
6살,나이소개
나 10살,나이소개
나 11살,나이소개
나 12살,나이소개
나 12살이란다,나이소개
나 14살,나이소개
나 19살,나이소개
나 7살,나이소개
난 7살이란다,나이소개


내일은,날씨먼지문맥
오늘은,날씨먼지문맥
전주는,날씨먼지문맥
광주는,날씨먼지문맥
이번 주는,날씨먼지문맥
3월 22일은,날씨먼지문맥
7월 12일은,날씨먼지문맥
내일도 알려줘,날씨먼지문맥
모레도 알려줘,날씨먼지문맥
오늘도 알려줘,날씨먼지문맥
오늘은 어떤데,날씨먼지문맥
내일은 어때,날씨먼지문맥
내일은 어떤지 아니,날씨먼지문맥
내일도 알려주라,날씨먼지문맥
오늘 것도 알려줘,날씨먼지문맥
부산은,날씨먼지문맥
속초는,날씨먼지문맥
오늘은 어떤지 궁금해,날씨먼지문맥
내일은 어떤지 궁금한데,날씨먼지문맥
내일도 알려주겠니,날씨먼지문맥
오늘도 알려주겠니,날씨먼지문맥
오늘은 어때,날씨먼지문맥
대전은,날씨먼지문맥
3월 6일은,날씨먼지문맥
2월 11일은,날씨먼지문맥
4월 7일은,날씨먼지문맥
3월 28일은,날씨먼지문맥
6월 5일은,날씨먼지문맥
8월 4일은,날씨먼지문맥
7월 22일은,날씨먼지문맥
9월 12일은,날씨먼지문맥
8월 8일은,날씨먼지문맥
12월 4일은,날씨먼지문맥
11월 9일은,날씨먼지문맥
10월 10일은,날씨먼지문맥
모레는,날씨먼지문맥
덕진구는,날씨먼지문맥
금암동은,날씨먼지문맥
구로구는,날씨먼지문맥
금천구는,날씨먼지문맥
수원은,날씨먼지문맥
팔달구는,날씨먼지문맥
장안구는,날씨먼지문맥
군산도,날씨먼지문맥
허서구는,날씨먼지문맥
제주도는,날씨먼지문맥
압구정은,날씨먼지문맥
북구는,날씨먼지문맥
남구는,날씨먼지문맥
강남구는,날씨먼지문맥
도봉구는,날씨먼지문맥
노원구는,날씨먼지문맥
강북구는,날씨먼지문맥
은평구는,날씨먼지문맥
성북구는,날씨먼지문맥
중랑구는,날씨먼지문맥
종로구는,날씨먼지문맥
동대문은,날씨먼지문맥
서대문는,날씨먼지문맥
중구는,날씨먼지문맥
