question,intent
동화책 이야기 들려주세요,동화
옛날이야기 들려줘,동화
옛날 이야기 해줘,동화
옛날 이야기 들려줄래,동화
옛날 이야기 들려주라,동화
옛날 이야기 나한테 말해줘,동화
옛날 이야기 나한테 들려줄수 있겠니,동화
옛날 이야기 해줘,동화
동화 읽어줘,동화
나한테 동화 읽어주라,동화
노래 들려줘,노래
요즘 가요 들려줘,노래
신나는 EDM 음악 들려줘,노래
노래 틀어주라,노래
노래 들려줘,노래
슬픈 노래 들려줘,노래
신나는 노래 들려줘,노래
음악 들려줄래,노래
동요 들려줄래,노래
즐거운 음악 틀어줘,노래
신나는 음악 들려줄래,노래
동요 틀어주라,노래
동요 재생해줘,노래
노래 재생해줘,노래
신나는 음악 하나만 재생해줄래,노래
재밌는 노래 들려줄수있니,노래
요즘 인기가요 들려줘,노래
가요 틀어주라,노래
너가 제일 좋아하는 음악 틀어줘,노래
요즘 이슈 알려줘,이슈
요즘 사회적인 이슈 알려줘,이슈
최근 이슈 알려줘,이슈
요즘 무슨일이 있었니,이슈
요슴 있던일 알려줘,이슈
최근 있던일 알려줘,이슈
요즘 핫한게 뭐니,이슈
최근 핫했던것 알려줘,이슈
요즘 최신의 이슈가 뭐니,이슈
요즘 가장 유행하는게 뭐니,이슈
최근 가장 유행하는게 뭐니,이슈
요즘 뜨는게 뭐니,이슈
요즘 가장 뜨는게 뭐니,이슈
오늘 5시에 깨워줘,알람
내일 2시에 깨워줘,알람
모레 3시에 깨워줘,알람
이따 알려줘,알람
내일 7시에 알람 맞춰줘,알람
오늘 6시에 알람 맞춰줘,알람
내일 12시에 깨워줘,알람
모레 9시에 알려주라,알람
내일 12시에 깨워줘,알람
이따가 깨워줘,알람
이따 알려줄래,알람
이따가 7시에 나 좀 깨워주라,알람
내일 12시에 알람 맞출거야,알람
이따 깨워주라,알람
다음주 2시에 알려줘,알람
재밌는 이야기 해줘,농담
농담 들려줘,농담
농담 해줘,농담
농담 따먹기 해줘,농담
즐거운 이야기 해주라,농담
재밌는 말 해줘,농담
재미있는 말 들려줄수 있니,농담
재밌는 농담 들려주라,농담
재미있는 농담 말해줘,농담
재밌는 얘기 해줄래,농담
즐거운 얘기 해줄래,농담
재미있는 이야기 들려주라,농담
너무 너무 심심해,농담
진짜 심심해 죽겠다,심심
심심해,심심
너무 할게 없다,심심
진짜 너무 심심해,심심
개심심하다,심심
진짜 심심해,심심
너무 심심하다,심심
아 할거없어,심심
할게 없다,심심
너무 심심해 진짜,심심
심심해 죽겠다,심심
